Period,Scenario,LoadLevel,Hydro
2030,sc01,01-01 01:00:00+01:00,-49.962377454487154
2030,sc01,01-01 03:00:00+01:00,49.037622545512846
2030,sc01,01-01 05:00:00+01:00,49.037622545512846
2030,sc01,01-01 07:00:00+01:00,49.037622545512846
2030,sc01,01-01 09:00:00+01:00,148.03762254551285
2030,sc01,01-01 11:00:00+01:00,148.03762254551285
2030,sc01,01-01 13:00:00+01:00,148.03762254551285
2030,sc01,01-01 15:00:00+01:00,128.5247058855127
2030,sc01,01-01 17:00:00+01:00,148.03762254551285
2030,sc01,01-01 19:00:00+01:00,148.03762254551285
2030,sc01,01-01 21:00:00+01:00,148.03762254551285
2030,sc01,01-01 23:00:00+01:00,-0.4623774544871253
2030,sc01,01-02 01:00:00+01:00,-0.4623774544871253
2030,sc01,01-02 03:00:00+01:00,-49.962377454487154
2030,sc01,01-02 05:00:00+01:00,-0.4623774544871253
2030,sc01,01-02 07:00:00+01:00,112.50945596551279
2030,sc01,01-02 09:00:00+01:00,148.03762254551285
2030,sc01,01-02 11:00:00+01:00,148.03762254551285
2030,sc01,01-02 13:00:00+01:00,148.03762254551285
2030,sc01,01-02 15:00:00+01:00,148.03762254551285
2030,sc01,01-02 17:00:00+01:00,148.03762254551285
2030,sc01,01-02 19:00:00+01:00,148.03762254551285
2030,sc01,01-02 21:00:00+01:00,148.03762254551285
2030,sc01,01-02 23:00:00+01:00,40.14362254551179
2030,sc01,01-03 01:00:00+01:00,-0.4623774544871253
2030,sc01,01-03 03:00:00+01:00,-0.4623774544871253
2030,sc01,01-03 05:00:00+01:00,-0.4623774544871253
2030,sc01,01-03 07:00:00+01:00,98.53762254551285
2030,sc01,01-03 09:00:00+01:00,148.03762254551285
2030,sc01,01-03 11:00:00+01:00,148.03762254551285
2030,sc01,01-03 13:00:00+01:00,148.03762254551285
2030,sc01,01-03 15:00:00+01:00,148.03762254551285
2030,sc01,01-03 17:00:00+01:00,148.03762254551285
2030,sc01,01-03 19:00:00+01:00,148.03762254551285
2030,sc01,01-03 21:00:00+01:00,148.03762254551285
2030,sc01,01-03 23:00:00+01:00,6.7325025455134835
