Period,Scenario,LoadLevel,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
2030,sc01,01-01 01:00:00+01:00,56.276532,50.54466300000001,93.79422,38.55984599999999,36.996609,70.86674400000001,65.13487500000001,89.104509,91.188825,101.610405,0.0,0.0,138.085935,101.08932600000001,165.182043,52.1079,0.0,173.519307,94.31529900000001,66.69811200000001,0.0,0.0,0.0,0.0
2030,sc01,01-01 03:00:00+01:00,51.51467160000001,46.2678069,85.85778599999999,35.2970898,33.866126699999995,64.8703272,59.6234625,81.5648967,83.4728475,93.0126015,0.0,0.0,126.4017405,92.5356138,151.2051009,47.69877,0.0,158.8369041,86.3347737,61.0544256,0.0,0.0,0.0,0.0
2030,sc01,01-01 05:00:00+01:00,51.51467160000001,46.2678069,85.85778599999999,35.2970898,33.866126699999995,64.8703272,59.6234625,81.5648967,83.4728475,93.0126015,0.0,0.0,126.4017405,92.5356138,151.2051009,47.69877,0.0,158.8369041,86.3347737,61.0544256,0.0,0.0,0.0,0.0
2030,sc01,01-01 07:00:00+01:00,69.26342399999999,62.208816,115.43903999999999,47.458272,45.534288,87.220608,80.16599999999998,109.66708799999999,112.23240000000001,125.05896,0.0,0.0,169.95191999999997,124.417632,203.300976,64.1328,0.0,213.56222400000001,116.08036799999999,82.089984,0.0,0.0,0.0,0.0
2030,sc01,01-01 09:00:00+01:00,82.6832124,74.2617741,137.805354,56.6533122,54.356556299999994,104.1196008,95.69816250000001,130.9150863,133.9774275,149.2891335,0.0,0.0,202.8801045,148.5235482,242.6905401,76.55853000000002,0.0,254.93990489999996,138.57093930000002,97.99491839999999,0.0,0.0,0.0,0.0
2030,sc01,01-01 11:00:00+01:00,82.6832124,74.2617741,137.805354,56.6533122,54.356556299999994,104.1196008,95.69816250000001,130.91508630000004,133.9774275,149.2891335,0.0,0.0,202.8801045,148.5235482,242.6905401,76.55853000000002,0.0,254.93990489999996,138.57093930000002,97.99491839999999,0.0,0.0,0.0,0.0
2030,sc01,01-01 13:00:00+01:00,82.25031599999998,73.872969,137.08386000000002,56.356698,54.071967,103.574472,95.197125,130.22966700000006,133.275975,148.507515,0.0,0.0,201.817905,147.745938,241.419909,76.1577,0.0,253.60514099999997,137.845437,97.481856,0.0,0.0,0.0,0.0
2030,sc01,01-01 15:00:00+01:00,80.9516268,72.70655370000001,134.91937799999997,55.4668554,53.2181991,101.93908560000001,93.69401250000001,128.17340910000001,131.1716175,146.16265950000002,0.0,0.0,198.6313065,145.41310740000003,237.6080157,74.95521,0.0,249.6008493,135.6689301,95.9426688,0.0,0.0,0.0,0.0
2030,sc01,01-01 17:00:00+01:00,86.1463836,77.3722149,143.577306,59.0262258,56.633270700000004,108.4806312,99.70646250000001,136.3984407,139.58904750000002,155.5420815,0.0,0.0,211.37770049999997,154.7444298,252.85558890000004,79.76517,0.0,265.6180161,144.3749577,102.09941760000001,0.0,0.0,0.0,0.0
2030,sc01,01-01 19:00:00+01:00,84.8476944,76.20579959999999,141.412824,58.136383200000004,55.7795028,106.84524480000002,98.20335,134.34218280000002,137.48469000000003,153.19722600000003,0.0,0.0,208.19110200000003,152.41159919999998,249.0436956,78.56268,0.0,261.61372439999997,142.19845080000002,100.56023040000001,0.0,0.0,0.0,0.0
