Period,Scenario,LoadLevel,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30
2030,sc01,01-01 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-01 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 09:00:00+01:00,0.0,0.0,0.13394133375999995,0.0,0.0,0.13394133375999995
2030,sc01,01-02 11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-02 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-03 13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0
