Period,Scenario,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
2030,sc01,01-01 00:00:00+01:00,0.3,72.0,12.0,48.0,72.0,24.0,30.0,4.5,30.0
2030,sc01,01-01 01:00:00+01:00,0.287,68.938,11.49,45.959,68.938,22.979,28.724,4.309,28.724
2030,sc01,01-01 02:00:00+01:00,0.275,66.104,11.017,44.069,66.104,22.035,27.543,4.131,27.543
2030,sc01,01-01 03:00:00+01:00,0.267,64.133,10.689,42.755,64.133,21.378,26.722,4.008,26.722
2030,sc01,01-01 04:00:00+01:00,0.261,62.6,10.433,41.734,62.6,20.867,26.083,3.913,26.083
2030,sc01,01-01 05:00:00+01:00,0.259,62.263,10.377,41.509,62.263,20.754,25.943,3.891,25.943
2030,sc01,01-01 06:00:00+01:00,0.259,62.151,10.358,41.434,62.151,20.717,25.896,3.884,25.896
2030,sc01,01-01 07:00:00+01:00,0.262,62.822,10.47,41.881,62.822,20.941,26.176,3.926,26.176
2030,sc01,01-01 08:00:00+01:00,0.269,64.66,10.777,43.107,64.66,21.553,26.942,4.041,26.942
2030,sc01,01-01 09:00:00+01:00,0.284,68.123,11.354,45.416,68.123,22.708,28.385,4.258,28.385
2030,sc01,01-01 10:00:00+01:00,0.295,70.722,11.787,47.148,70.722,23.574,29.467,4.42,29.467
2030,sc01,01-01 11:00:00+01:00,0.303,72.64,12.107,48.427,72.64,24.213,30.267,4.54,30.267
2030,sc01,01-01 12:00:00+01:00,0.302,72.439,12.073,48.293,72.439,24.146,30.183,4.527,30.183
2030,sc01,01-01 13:00:00+01:00,0.302,72.397,12.066,48.265,72.397,24.132,30.166,4.525,30.166
2030,sc01,01-01 14:00:00+01:00,0.306,73.555,12.259,49.037,73.555,24.518,30.648,4.597,30.648
2030,sc01,01-01 15:00:00+01:00,0.321,76.922,12.82,51.281,76.922,25.641,32.051,4.808,32.051
2030,sc01,01-01 16:00:00+01:00,0.337,80.946,13.491,53.964,80.946,26.982,33.728,5.059,33.728
2030,sc01,01-01 17:00:00+01:00,0.347,83.166,13.861,55.444,83.166,27.722,34.653,5.198,34.653
2030,sc01,01-01 18:00:00+01:00,0.345,82.829,13.805,55.219,82.829,27.61,34.512,5.177,34.512
2030,sc01,01-01 19:00:00+01:00,0.34,81.632,13.605,54.422,81.632,27.211,34.014,5.102,34.014
2030,sc01,01-01 20:00:00+01:00,0.333,79.989,13.332,53.326,79.989,26.663,33.329,4.999,33.329
2030,sc01,01-01 21:00:00+01:00,0.324,77.865,12.977,51.91,77.865,25.955,32.444,4.867,32.444
