InitialNode,FinalNode,Circuit,LineType,Switching,InitialPeriod,FinalPeriod,Voltage,Length,LossFactor,Reactance,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,SwOnTime,SwOffTime,Resistance,Susceptance,Tap,AngMin,AngMax,InvestmentLo,InvestmentUp
Nigeria States|Abia,Nigeria States|Akwa Ibom,cc1,AC,,2010,2050,330,67,0.01,0.0051,49.2,,0.65,,,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Akwa Ibom,cc2,AC,,2010,2050,330,67,0.01,0.0051,49.2,,0.65,,,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Akwa Ibom,n1,AC,,2010,2050,330,62,0.01,0.0184,179,,0.651,77.5,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Akwa Ibom,n2,AC,,2010,2050,330,67,0.01,0.0051,49.2,,0.65,83.75,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Akwa Ibom,n3,AC,,2010,2050,330,67,0.01,0.0051,49.2,,0.65,83.75,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Anambra,n1,AC,,2010,2050,132,85,0.01,0.000001,89.5,,0.65,89.25,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Cross River,cc1,AC,,2010,2050,132,56,0.01,0.036,32,,0.65,,,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Ebonyi,n1,AC,,2010,2050,132,33,0.01,0.000001,53.5,,0.65,34.65,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Enugu,n1,AC,,2010,2050,765,189,0.01,0.008547533,4200,,0.651,415.8,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Imo,n1,AC,,2010,2050,132,37,0.01,0.0245,95,,0.651,38.85,0.107,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Rivers,cc1,AC,,2010,2050,330,36,0.01,0.007,120,,0.64,,,,,,,,,,,,
Nigeria States|Abia,Nigeria States|Rivers,cc2,AC,,2010,2050,330,36,0.01,0.0084,147,,0.65,,,,,,,,,,,,
Nigeria States|Adamawa,Nigeria States|Borno,n1,AC,,2010,2050,330,305,0.01,0.0956,150,,0.65,381.25,0.107,,,,,,,,,,
Nigeria States|Adamawa,Nigeria States|Borno,n2,AC,,2010,2050,330,105,0.01,0.0293,135,,0.65,131.25,0.107,,,,,,,,,,
Nigeria States|Adamawa,Nigeria States|Taraba,n1,AC,,2010,2050,330,132,0.01,0.042,110,,0.651,165,0.107,,,,,,,,,,
Nigeria States|Adamawa,Nigeria States|Taraba,n2,AC,,2010,2050,330,132,0.01,0.042,110,,0.651,165,0.107,,,,,,,,,,
