,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Gas_C15,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33,Ons_W100,Ons_W101,Ons_W102,Ons_W103,Ons_W104,Ons_W105,Sol_S106,Sol_S107,Sol_S108,Sol_S109,STATCON_SC001,Ant_CG1,Gas_CG2,Sub_CG3,ESS_CG4,ESS_CG5,ESS_CG6,ESS_CG7,ESS_CG8,ESS_CG9,Ons_CG10,Sol_CG11,STATCON_CG12,STATCON_CG13
sc01,y2030,2030-01-01T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.4214426,186.2213879,579.2964205,161.7838553,236.3306334,226.188,0.000006,0.000006,0.000006,0.000006,,,,,,,,,,,277.1605843,0.00003,,
sc01,y2030,2030-01-01T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8899502,171.5567573,533.6777725,149.0436406,217.7199816,208.376064,0.000006,0.000006,0.000006,0.000006,,,,,,,,,,,255.3346406,0.00003,,
sc01,y2030,2030-01-01T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.6345974,159.1234343,495.0002628,138.2419225,201.941047,193.274316,0.000006,0.000006,0.000006,0.000006,,,,,,,,,,,236.829639,0.00003,,
sc01,y2030,2030-01-01T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1444842,152.6599249,474.8936152,132.626609,193.738309,185.423616,0.000006,0.000006,0.000006,0.000006,,,,,,,,,,,227.2097449,0.00003,,
sc01,y2030,2030-01-01T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.4383368,143.3249666,445.8544805,124.5166622,181.8914602,174.0852,0.000006,0.000006,0.000006,0.000006,,,,,,,,,,,213.3161608,0.00003,,
sc01,y2030,2030-01-01T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.7339379,133.3101209,414.700356,115.8160486,169.1817769,161.92098,0.000006,0.000006,0.000006,0.000006,,,,,,,,,,,198.4106736,0.00003,,
sc01,y2030,2030-01-01T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7963326,126.5418344,393.6456096,109.9359535,160.5922511,153.700092,0.014361377,0.012284684,0.026723506,0.019085482,,,,,,,,,,,188.3371679,0.00003,,
sc01,y2030,2030-01-01T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5984155,114.8287077,357.2084825,99.75992148,145.7273063,139.473108,0.123598816,0.105726106,0.229991434,0.164256038,,,,,,,,,,,170.9040626,0.180348402,,
sc01,y2030,2030-01-01T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.6510218,103.9672852,323.420832,90.323826,131.943246,126.28062,2.332131595,1.994899303,4.339607029,3.099274816,,,,,,,,,,,154.7385822,3.402914472,,
sc01,y2030,2030-01-01T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7866782,87.71380068,272.859586,76.20326004,111.3162044,106.538832,51.00127721,43.62635992,94.90266396,67.77789654,,,,,,,,,,,130.5478847,74.41817808,,
sc01,y2030,2030-01-01T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1560929,77.06814966,239.743156,66.95462058,97.80597618,93.608424,129.1687553,110.4906174,240.3559214,171.6581822,,,,,,,,,,,114.7035453,188.4757394,,
sc01,y2030,2030-01-01T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9045734,79.621158,247.6850398,69.17260176,101.045959,96.709356,177.0668705,151.4625406,329.4842526,235.3121467,,,,,,,,,,,118.5032876,258.365959,,
sc01,y2030,2030-01-01T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9499593,83.73853866,260.4933638,72.7496652,106.2712619,101.710404,198.9782371,170.2054667,370.2567035,264.4311498,,,,,,,,,,,124.6313466,290.3377855,,
sc01,y2030,2030-01-01T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.713643,84.9397452,264.23007,73.79323932,107.7956942,103.169412,201.892297,172.6981458,375.6791566,268.3037752,,,,,,,,,,,126.4191492,294.5898167,,
