,,,Length,LineType,Voltage,LossFactor,Resistance,Reactance,Susceptance,Tap,TTC,TTCBck,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment,Switching,SwOnTime,SwOffTime,Converter,AngMin,AngMax
N_101,N_102,eac1,4.82802,AC,138,0.01,0.0013,0.00695,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_101,N_103,eac1,88.5137,AC,138,0.01,0.0273,0.1056,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_101,N_105,eac1,35.40548,AC,138,0.01,0.0109,0.04225,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_102,N_104,eac1,53.10822,AC,138,0.01,0.0164,0.06335,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_102,N_106,eac1,80.467,AC,138,0.01,0.02485,0.096,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_103,N_109,eac1,49.88954,AC,138,0.01,0.0154,0.0595,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_103,N_124,eac1,0.160934,AC,,0.01,0.0115,0.04195,,1.015,800,,0.55,,,,,,,,-1.570796327,1.570796327
N_104,N_109,eac1,43.45218,AC,138,0.01,0.0134,0.05185,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_105,N_110,eac1,37.01482,AC,138,0.01,0.0114,0.04415,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_106,N_110,eac1,25.74944,AC,138,0.01,0.00695,0.03025,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_107,N_108,eac1,25.74944,AC,138,0.01,0.00795,0.0307,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_108,N_109,eac1,69.20162,AC,138,0.01,0.02135,0.08255,,1,350,,0.55,,,,,,,,-1.570796327,1.570796327
N_108,N_110,eac1,69.20162,AC,138,0.01,0.02135,0.08255,,1,800,,0.55,,,,,,,,-1.570796327,1.570796327
N_109,N_111,eac1,0.160934,AC,138,0.01,0.00115,0.04195,,1.03,800,,0.55,,,,,,,,-1.570796327,1.570796327
N_109,N_112,eac1,0.160934,AC,,0.01,0.00115,0.04195,,1.03,800,,0.55,,,,,,,,-1.570796327,1.570796327
N_110,N_111,eac1,0.160934,AC,138,0.01,0.00115,0.04195,,1.015,800,,0.55,,,,,,,,-1.570796327,1.570796327
N_110,N_112,eac1,0.160934,AC,,0.01,0.00115,0.04195,,1.015,800,,0.55,,,,,,,,-1.570796327,1.570796327
N_111,N_113,eac1,53.10822,AC,230,0.01,0.00305,0.0238,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_111,N_114,eac1,46.67086,AC,230,0.01,0.0027,0.0209,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_112,N_113,eac1,53.10822,AC,230,0.01,0.00305,0.0238,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_112,N_123,eac1,107.82578,AC,230,0.01,0.0062,0.0483,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_113,N_123,eac1,96.5604,AC,230,0.01,0.00555,0.04325,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_114,N_116,eac1,83.68568,AC,230,0.01,0.0025,0.01945,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_115,N_116,eac1,43.45218,AC,230,0.01,0.0011,0.00865,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_115,N_121,eac1,19.31208,AC,230,0.01,0.00315,0.0245,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_115,N_121,eac2,54.71756,AC,230,0.01,0.00315,0.0245,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_115,N_124,eac1,54.71756,AC,230,0.01,0.00335,0.02595,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
