,Node,Technology,StorageType,OutflowsType,MustRun,BinaryCommitment,MaximumPower,MinimumPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedCost,FixedChargeRate,BinaryInvestment,Inertia,MaximumReactivePower,MinimumReactivePower
Gas_C1,N_101,Gas,,,,Yes,20,16,,,,,,,,5,5,3,3,0.01,16.20612,300000,3,1,1,0.247444771,1,25.41866667,0.0075,Yes,,10,0
Gas_C2,N_101,Gas,,,,Yes,20,16,,,,,,,,5,5,3,3,0.01,16.20612,300000,3,1,1,0.247444771,1,25.41866667,0.0075,Yes,,10,0
Ant_C3,N_101,Anthracite,,,,Yes,76,15.2,,,,,,,,50,50,12,12,0.02,43.53552,50000,4,2,2,0.324771262,1,320.4058667,0.0075,Yes,,30,-25
Ant_C4,N_101,Anthracite,,,,Yes,76,15.2,,,,,,,,50,50,12,12,0.02,43.53552,50000,4,2,2,0.324771262,1,320.4058667,0.0075,Yes,,30,-25
Gas_C5,N_102,Gas,,,,Yes,20,16,,,,,,,,5,5,3,3,0.01,16.20612,300000,3,1,1,0.247444771,1,25.41866667,0.0075,Yes,,10,0
Gas_C6,N_102,Gas,,,,Yes,20,16,,,,,,,,5,5,3,3,0.01,16.20612,300000,3,1,1,0.247444771,1,25.41866667,0.0075,Yes,,10,0
Ant_C7,N_102,Anthracite,,,,Yes,76,15.2,,,,,,,,50,50,12,12,0.02,43.53552,50000,4,2,2,0.324771262,1,320.4058667,0.0075,Yes,,30,-25
Ant_C8,N_102,Anthracite,,,,Yes,76,15.2,,,,,,,,50,50,12,12,0.02,43.53552,50000,4,2,2,0.324771262,1,320.4058667,0.0075,Yes,,30,-25
Sub_C9,N_107,Subbituminous,,,,Yes,100,25,,,,,,,,40,40,18,18,0.03,73.71756,50000,5,2,2,0.262910069,1,468.98,0.0075,Yes,,60,0
Sub_C10,N_107,Subbituminous,,,,Yes,100,25,,,,,,,,40,40,18,18,0.03,73.71756,50000,5,2,2,0.262910069,1,468.98,0.0075,Yes,,60,0
Sub_C11,N_107,Subbituminous,,,,Yes,100,25,,,,,,,,40,40,18,18,0.03,73.71756,50000,5,2,2,0.262910069,1,468.98,0.0075,Yes,,60,0
Sub_C12,N_113,Subbituminous,,,,Yes,197,69,,,,,,,,80,80,18,18,0.03,94.55292,50000,5,2,2,0.262910069,1,923.8906,0.0075,Yes,,80,0
Sub_C13,N_113,Subbituminous,,,,Yes,197,69,,,,,,,,80,80,18,18,0.03,94.55292,50000,5,2,2,0.262910069,1,923.8906,0.0075,Yes,,80,0
Sub_C14,N_113,Subbituminous,,,,Yes,197,69,,,,,,,,80,80,18,18,0.03,94.55292,50000,5,2,2,0.262910069,1,923.8906,0.0075,Yes,,80,0
Gas_C15,N_114,Gas,,,,Yes,0,0,,,,,,,,,,,,,,,3,,,,1,,,,,0,0
