,,,LineType,Voltage,LossFactor,Reactance,TTC,SecurityFactor,FixedCost,FixedChargeRate,Resistance,Susceptance,Tap,BinaryInvestment
ES00,ES30,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES11,ES12,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES11,ES41,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES12,ES13,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES12,ES41,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES13,ES21,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES13,ES41,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES21,ES22,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES21,ES23,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES22,ES24,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES23,ES24,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES23,ES41,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES24,ES41,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES24,ES42,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES24,ES51,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES24,ES52,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES30,ES41,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES30,ES42,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES41,ES43,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES42,ES43,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES42,ES52,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES42,ES61,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES42,ES62,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES43,ES61,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES51,ES52,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES52,ES62,cc1,DC,400,0,0.02,50000,0.67,,,,,,
ES61,ES62,cc1,DC,400,0,0.02,50000,0.67,,,,,,
