,,,Demand,Solar,Wind,Hydro
sc01,y2030,2030-01-01T00:00:00+01:00,3337.331884,0.57,2131.9,184.2
sc01,y2030,2030-01-01T01:00:00+01:00,3261.045823,0.57,2281.2,199
sc01,y2030,2030-01-01T02:00:00+01:00,3247.17265,0.57,2114.6,163.8
sc01,y2030,2030-01-01T03:00:00+01:00,3264.598321,0.57,2055.5,167.8
sc01,y2030,2030-01-01T04:00:00+01:00,3402.858433,0.57,1998.6,162.6
sc01,y2030,2030-01-01T05:00:00+01:00,3672.211107,0.57,1940.7,141
sc01,y2030,2030-01-01T06:00:00+01:00,3948.505719,0.57,1709.5,150.6
sc01,y2030,2030-01-01T07:00:00+01:00,3986.759406,817.01,1358.9,288.6
sc01,y2030,2030-01-01T08:00:00+01:00,4002.672232,1363.7,1165.2,251.4
sc01,y2030,2030-01-01T09:00:00+01:00,4032.336286,1661.71,775.3,338.6
sc01,y2030,2030-01-01T10:00:00+01:00,4023.089346,1864.6,424.2,350.6
sc01,y2030,2030-01-01T11:00:00+01:00,4014.027883,1862.91,234.1,349.8
sc01,y2030,2030-01-01T12:00:00+01:00,3980.797066,1829.91,194.6,350.2
sc01,y2030,2030-01-01T13:00:00+01:00,3958.54615,1704.91,213.6,297.8
sc01,y2030,2030-01-01T14:00:00+01:00,3929.231137,1432.81,62.02,279.8
sc01,y2030,2030-01-01T15:00:00+01:00,3912.80087,832.31,114.91,343.8
sc01,y2030,2030-01-01T16:00:00+01:00,4057.433272,0.57,141.9,325.6
sc01,y2030,2030-01-01T17:00:00+01:00,4578.057226,0.57,655.8,352.6
sc01,y2030,2030-01-01T18:00:00+01:00,4554.393766,0.57,762.5,279.4
sc01,y2030,2030-01-01T19:00:00+01:00,4449.398154,0.57,1019.1,273.8
sc01,y2030,2030-01-01T20:00:00+01:00,4291.819143,0.57,1248.1,279
sc01,y2030,2030-01-01T21:00:00+01:00,4016.216875,0.57,1429.2,265.4
sc01,y2030,2030-01-01T22:00:00+01:00,3707.115587,0.57,1554.2,277.8
