,,,LineType,Voltage,LossFactor,Reactance,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment,Resistance,Susceptance,Tap
Almeria,Cadiz,ac1,AC,400,0.012979167,0.0686875,600,0.67,,,,,,
Almeria,Cartagena,ac1,AC,400,0.00445,0.02355,600,0.67,,,,,,
Barcelona,Madrid,ac1,AC,400,0.019654167,0.1040125,600,0.67,,,,,,
Barcelona,Valencia,ac1,AC,400,0.012979167,0.0686875,600,0.67,,,,,,
Bilbao,Barcelona,ac1,AC,400,0.019654167,0.1040125,600,0.67,,,,,,
Bilbao,Valladolid,ac1,AC,400,0.0077875,0.0412125,600,0.67,,,,,,
Bilbao,Valladolid,cac1,AC,400,0.0077875,0.0412125,600,0.67,30,0.075,1,,,
Caceres,Madrid,ac1,AC,400,0.011866667,0.0628,600,0.67,,,,,,
Caceres,Madrid,cac1,DC,400,0.011866667,0.0628,600,0.67,30,0.075,1,,,
Caceres,Sevilla,ac1,AC,400,0.009641667,0.051025,600,0.67,,,,,,
Caceres,Sevilla,ac2,AC,400,0.009641667,0.051025,600,0.67,,,,,,
Caceres,Sevilla,cac1,AC,400,0.009641667,0.051025,600,0.67,30,0.075,1,,,
Caceres,Valladolid,ac1,AC,400,0.011866667,0.0628,600,0.67,,,,,,
Caceres,Valladolid,cac1,DC,400,0.011866667,0.0628,600,0.67,30,0.075,1,,,
Cadiz,Sevilla,ac1,AC,400,0.00445,0.02355,600,0.67,,,,,,
Cadiz,Sevilla,cac1,AC,400,0.00445,0.02355,600,0.67,10,0.075,1,,,
Cartagena,Valencia,ac1,AC,400,0.009641667,0.051025,600,0.67,,,,,,
Cartagena,Valencia,cac1,AC,400,0.009641667,0.051025,600,0.67,10,0.075,1,,,
Lugo,Valladolid,ac1,AC,400,0.012608333,0.066725,600,0.67,,,,,,
Lugo,Valladolid,ac2,AC,400,0.012608333,0.066725,600,0.67,,,,,,
Madrid,Valladolid,ac1,AC,400,0.00445,0.02355,600,0.67,,,,,,
Madrid,Valladolid,cac1,AC,400,0.00445,0.02355,600,0.67,40,0.075,1,,,
Sevilla,Madrid,ac1,AC,400,0.012979167,0.0686875,600,0.67,,,,,,
Sevilla,Valladolid,cac1,DC,400,0.019654167,0.1040125,600,0.67,50,0.075,1,,,
Valencia,Madrid,ac1,AC,400,0.011866667,0.0628,600,0.67,,,,,,
Valencia,Madrid,ac2,AC,400,0.011866667,0.0628,600,0.67,,,,,,
Valencia,Madrid,cac1,DC,400,0.011866667,0.0628,600,0.67,50,0.075,1,,,
Madrid,Bilbao,cac1,AC,400,0.011866667,0.0628,600,0.67,50,0.075,1,,,
