,,,MG1,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,MG10,MG11,MG12,MG13,MG14,MG15,MG16,MG17,MG18,MG19,MG20,MG21,MG22,MG23,MG24
sc01,y2030,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc01,y2030,C2,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067,0.000181671,0.000272506,0.001413067
sc01,y2030,C3,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239,0.000127567,0.000191351,0.000992239
sc01,y2030,C4,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183,0.000106475,0.000159713,0.000828183
sc01,y2030,C5,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799,0.00015978,0.000239671,0.001242799
sc01,y2030,C6,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758,0.000111563,0.000167345,0.000867758
sc01,y2030,C7,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843,9.42E-05,1.41E-04,0.000732843
sc01,y2030,C8,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151,0.000107757,0.000161635,0.000838151
sc01,y2030,C9,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874,9.55E-05,1.43E-04,0.000742874
sc01,y2030,C10,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485,9.24E-05,1.39E-04,0.000718485
sc01,y2030,C11,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101,8.60E-05,1.29E-04,0.000669101
sc01,y2030,C12,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573,0.000101769,0.000152653,0.000791573
sc01,y2030,C13,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038,8.15E-05,1.22E-04,0.000634038
sc01,y2030,C14,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284,8.94E-05,1.34E-04,0.000695284
sc01,y2030,C15,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528,6.42E-05,9.63E-05,0.000499528
sc01,y2030,C16,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706,6.85E-05,1.03E-04,0.000532706
sc01,y2030,C17,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567,6.86E-05,1.03E-04,0.000533567
