,,,MG1,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,MG10,MG11,MG12,MG13,MG14,MG15,MG16,MG17,MG18,MG19,MG20,MG21,MG22,MG23,MG24
sc01,y2030,C1,0.00001,0.00001,,0.00001,0.00001,,0.00001,0.00001,,0.00001,0.00001,,0.00001,0.00001,,0.00001,0.00001,,0.00001,0.00001,,0.00001,0.00001,
sc01,y2030,C2,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751,0.01205751
sc01,y2030,C3,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376,0.27647376
sc01,y2030,C4,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048,0.28139048
sc01,y2030,C5,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075,0.284075
sc01,y2030,C6,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308,0.28423308
sc01,y2030,C7,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284,0.28481284
sc01,y2030,C8,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074,0.321074
sc01,y2030,C9,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108,0.41514108
sc01,y2030,C10,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244,0.50280244
sc01,y2030,C11,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724,0.50475724
sc01,y2030,C12,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172,0.51668172
sc01,y2030,C13,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636,0.60370636
sc01,y2030,C14,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184,0.71144184
sc01,y2030,C15,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352,0.71464352
sc01,y2030,C16,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324,0.7154324
sc01,y2030,C17,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216,0.71937216
sc01,y2030,C18,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936,0.81820936
sc01,y2030,C19,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824,0.91616824
sc01,y2030,C20,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168,0.91885168
sc01,y2030,C21,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976,0.91982976
sc01,y2030,C22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
